test,Method A,Method B,Method C,Method D,Method E
1,0.814723686,0.706046088,0.751267059,0.07585429,0.10665277
2,0.905791937,0.031832846,0.255095115,0.053950119,0.961898081
3,0.126986816,0.276922985,0.505957052,0.530797553,0.004634224
4,0.913375856,0.046171391,0.699076723,0.77916723,0.774910465
5,0.632359246,0.097131781,0.890903253,0.934010684,0.817303221
6,0.097540405,0.823457828,0.959291425,0.129906208,0.868694705
7,0.278498219,0.694828623,0.54721553,0.568823661,0.084435846
8,0.546881519,0.31709948,0.138624443,0.469390641,0.399782649
9,0.957506835,0.950222049,0.149294006,0.01190207,0.259870403
10,0.964888535,0.034446081,0.257508254,0.337122644,0.80006848
11,0.157613082,0.43874436,0.840717256,0.162182308,0.431413827
12,0.970592782,0.381558457,0.254282179,0.794284541,0.910647594
13,0.957166948,0.765516788,0.814284826,0.311215042,0.181847028
14,0.485375649,0.795199901,0.243524969,0.528533136,0.263802917
15,0.800280469,0.186872605,0.929263623,0.165648729,0.14553898
16,0.141886339,0.489764396,0.349983766,0.601981941,0.136068559
17,0.421761283,0.445586201,0.19659525,0.262971285,0.869292208
18,0.915735525,0.64631301,0.251083858,0.654079098,0.579704587
19,0.79220733,0.709364831,0.616044676,0.689214503,0.549860202
20,0.959492426,0.754686682,0.473288849,0.748151593,0.144954798
21,0.655740699,0.276025077,0.351659507,0.450541599,0.853031118
22,0.035711679,0.679702677,0.830828628,0.083821378,0.622055131
23,0.849129306,0.655098004,0.585264091,0.228976969,0.350952381
24,0.933993248,0.162611735,0.549723608,0.913337362,0.51324954
25,0.678735155,0.118997682,0.917193664,0.152378019,0.401808034
26,0.757740131,0.498364052,0.285839019,0.825816977,0.075966692
27,0.743132468,0.959743959,0.757200229,0.538342435,0.239916154
28,0.39222702,0.340385727,0.753729094,0.996134717,0.123318935
29,0.65547789,0.585267751,0.380445847,0.078175529,0.183907788
30,0.171186688,0.223811939,0.567821641,0.44267827,0.239952526
